Name,Translation
धामिनी,dhamini
यश,yash
गीतांजली,gitanjali
पुल्कित,pulkit
अक्षपात,akshpaat
टुंडिराम,tundiram
चंद्रपाल,chanderpal
रामलखन,ramlakhan
रिम्पी,rimpy
श्योराम,shyoram
बैदनाथ,baidnath
ताजिंदेर,tajinder
वासुदेव,vasudev
मेनाक्षी,menakshi
माला,mala
गोमती,gomti
रामावतार,ramavtar
उपेंद्र,upendra
बिंतु,bintu
विक्षी,vikshi
साकिला,sakila
सावन,savan
तौफीक,taufik
सविहा,saviha
मौसमी,mosmi
कदम,kadam
कुसुम,kusum
भातेरी,bhateri
महीनुदीन,mahinudin
येसपाल,yespal
आसिम,aasim
तार,taar
शंशक,shanshak
रेशमी,reshami
पूनम,poonam
मन्नूलाल,mannulal
रामबारोस,rambarose
सीतार,sitar
जगरति,jagrti
केली,keli
रामबाई,rambai
शकुन,shakun
प्रभाव,prabhav
सुचेता,sucheta
सुबानी,subani
आयशा,ayasha
मामिता,mamita
परमिला,parmila
प्रकाश,prakash
मालती,malti
शानवाज़,shanvaj
साइरा,saira
कुशाग्र,kushagra
संतरा,santra
शबानम,shabanm
जफ़र,jafar
मोहसीन,mhosin
कमलेश,kamlesh
अनया,anaya
हरिब,harib
अम्बिया,ambiya
जीवन,jeevan
मेनू,menu
सशिकला,sashikala
सायमा,sayma
मोनिका,monika
नीली,neeli
नवदीप,navdeep
रजुदी,rajudi
रासिद,rasid
अदिति,aditi
शमरीन,shamrin
समिया,samiya
अंजनी,anjani
लब्भी,labbhi
गौतम,gautam
गुलसन,gulsan
रूपम,rupam
इशरत,ishrat
सलमम,salmam
श्गिता,shgita
पींटू,peentu
वाशु,vashu
नवीन,navin
जाहिरुल,jahirul
क्रशना,krashna
अवनीत,avneet
गिरिजा,girja
चैन,chain
मस्त,mast
नदीम,nadeem
प्रशानत,prashanat
भवेश,bhavesh
रिति,riti
किरिति,kiriti
दुलार,dular
जाविद,javid
सफीना,safina
मेहिब,mehib
मामचंद,mamchand
शेश,sheish
बंटी,bunty
रुकसार,ruksaar
माटोक,matok
खुशबू,khushabu
धीरज,dheeraj
सुच्छा,succha
दीपेंद्र,deepender
संजय,sanjey
नानू,nanu
हरदास,hardass
आलिश,alish
मधुवन,madhavan
अर्जुन,arjun
शुकवीर,shukveer
हेमा,hema
अरमान,armaan
पारा,para
गुरुसिमरन,gursimaran
अजमेरी,ajmeri
चंदू,chandu
जहगीर,jahgeer
प्रिया,priya
मोहम्मद,mohmed
सेवक,sevak
मार्टी,marti
वेदिका,vedika
गांधी,gandhi
मदन,madan
कमरुद्दीन,qamaruddin
करनसिंह,karansingh
सुरिंद्र,surindera
कुशुम,kushum
ओबेरॉय,oberoi
पारसी,parsi
लडकुंवर,ladakunvar
मुनेश,munesh
भलाराम,bhalaram
यज्ञिक,yagnik
आसीश,asish
रिंकू,rinkoo
गुरुप्रीत,gurpreet
अनिमेष,animesh
महक,mahak
चित्रांगन,chitrangan
इश,ish
आलिम,alim
चटरपाल,chaterpal
नव्या,navya
तोहसीम,tohseeem
भीमा,bhima
रगिना,ragina
अम्बिका,ambika
डालीप,dalip
रंटेश,rantesh
रूसन,rusan
जमाल,jamal
कुलविंदर,kulvinder
जमीर,jameer
सुहस्मिता,suhsmita
शबनुर,shabnur
अमृत,amrta
एशान,eshan
गंगाराम,gangaram
वेर्सा,versa
सवीरों,saveroon
केवल,keval
शिल,shil
पुलिता,pulita
लुक्कड़,lukkad
सुभम,subham
अरविंदर,arvinder
आकाश,aakas
सुशीला,sushela
शकुना,shakuna
होम,hom
कायूम,kayum
जन्वी,janvi
बाबुद्दीन,babuddin
बाहरत,bahrat
नाजो,najo
मंशी,manshi
नीमा,neema
अशुतोष,ashutosh
राकीबा,rakeeba
कामरुदीन,kamrudeen
रामसागर,ramsagar
परवीना,parveena
रखा,rakha
चप्पला,chappla
सत्यम,satyam
प्रतिक,pratik
दमा,dama
सलमान,salmaan
पार्सनाथ,parsnath
शमशीना,shamshina
सजिया,sajia
सुभाकर,subhakar
मिसेज,mrs
रुस्तम,rustam
कौशिक,kaushik
आवी,avi
तुलकी,tulki
अनूप,anoop
रामभूल,rambhul
निधि,nidhi
सिधार्थ,sidharth
सय्यद,syed
हरबिंदर,harbinder
रीमी,reemi
आजीव,aajiv
विदुर,bidur
भेमजी,bhemji
मन्नी,manni
मुनिया,munia
साद,saad
कोशल,koshal
बब्लू,babloo
शरत,sharat
रामवीर,ramvir
रेजौल,rejaul
जीतेंद्र,jitendra
भार्गव,bhargava
अब्बास,abbas
शारधा,shardha
नफीसा,nafisa
मुंतजर,muntjar
लक्ष्मण,lakshman
गुलाब,gulab
आसगरी,asgari
हलीमा,halima
चोरग,chorag
बाबुद्दीन,babudden
बिंदु,bindu
रूपसिंह,roopsingh
रणजय,ranjay
निहालचंद,nihalchand
सहनाज,sehnaj
आबिद,abid
रोजी,roji
नेहा,neha
मिथलेश,mithlesh
परेरना,parerna
सुनेना,sunena
राजेन्द्र,rajendra
तुलसा,tulsa
लकी,lucky
कीर्तिमान,kirtiman
डॉली,dolly
बच्छू,bachhu
काजर,kajar
आसलम,aslam
मृदंगिनी,mridangini
हितेंद्र,hitender
जनार्दम,janardam
नाबाव,nabav
कुसुमलता,kusumlata
भूरी,bhuri
सायेरी,sayeri
अल्तमश,altmash
इसरार,israr
भला,bhala
चिराग,chirag
तैत्रा,taitra
शतीश,shatish
सुर्जिया,surjiya
हैरी,harry
वंसू,vansu
जीनत,jeenat
भगवान,bhagwan
मनोति,manoti
शाना,shana
कौवा,kauva
दरिया,dariya
जेबी,jebi
फूलो,fulo
मीता,meeta
मधुनी,madhuni
निम्मी,nimmy
क़ैस,qais
आश्मा,aashma
जोगेंदर,jogender
समाद,samad
बीना,beena
गणपति,ganpat
तारनजीत,taranjeet
संकरलाल,sankarlal
आकांक्षा,aakanksha
मिन्टू,mintu
परशांत,parshant
गोविंद,govind
सूरज,sooraj
इबरहीम,ibarhim
हरे,hare
राजकिरण,rajkiran
सरोजिनी,sarojini
विषु,vishu
लता,lata
सफ़ीक,safiq
भूधशेन,bhudhashen
गर्श,garsh
जय,jay
साहब,sahab
भविष्य,bhavishy
कप्तान,captain
कल्याणी,kalyani
खुशबू,khusbhu
शगुफ्ता,shagufta
पुतुलु,putulu
शुभम,shubham
प्रीत्तम,prittam
चटन,chatan
जसकरन,jaskaran
आएनाब,aaenab
जुवेल,juvel
क़दीम,qadim
नुसरांत,nusrant
रामभूल,rambhool
भूप,bhoop
पारलाद,parlad
भरतेन्दु,bhartendu
रूपल,rupal
मधराम,madharam
झूही,jhuhi
बद्रु,badru
आंसी,aansi
नरयाणी,naryani
आशिया,aashia
जोइटी,joity
समर,samar
लोकिंद्र,lokindra
शाहीना,shahina
चम्पा,champa
बलबीरी,balbiri
गुड़िया,gudiya
सपना,sapana
पंकज,pankaj
अबाश,abash
खलील,khalil
राजदेव,rajdev
शंकर,shanker
कन्हैयालाल,kanhaiyalal
अमृता,amritha
कुशबू,kushbu
राजाराम,rajaram
शाहनाज,shahnaj
परताप,partap
इंद्र,indra
पूजा,pujja
शुर,shur
संदना,sandna
रिष्मा,rishma
अमरपाल,amarapal
योगेश,yogesh
मूकन,mookan
रघबीर,raghbir
जितेंदर,jittender
इस्तख़ार,istkhar
शाकिब,shakib
क़ाज़ी,qazi
सोमेश,somesh
व्रेन्द्र,vrendra
सुभद्रा,subhadra
रहमत,rehmat
समरा,samra
हरबाई,harbai
ज़ादे,zade
हास्मिता,hasmita
बंदनी,bandani
झुन्नू,jhunnu
मंजू,manju
अनुपुमा,anupuma
एनी,any
इर्साद,irsad
पुत्र,s/o
जुबेदा,jubeda
सादब्रिज,sadabrij
लक्ष्मनन,lakshmanan
सत्यव्रत,satyvrat
रेबेका,rebecca
रिसिराज,risiraj
आँचल,anchal
पाटील,patil
अमजद,amjad
मुकिमान,mukiman
सब्रजीत,sabrajeet
स्टिफेन,stifen
दवीना,daveena
वाहिद,wahid
यमीन,yamin
गणिता,ganita
शिवकुमारी,shivkumari
नरयाण,naryan
इस्लामुद्दीन,islamuddin
सगन,sagan
मुनीर,muneer
जीनात,jinat
हैदर,haider
अर्सद,arsad
लीलू,leelu
मायक,mayak
चन्पा,chanpa
सत्रुघन,satrughan
परमोद,parmod
शौकत,shoukat
युनुस,yunus
माधुरी,madhuri
पुषंक,pushank
दिम्पल,dimpal
खडक,khadak
अंग्रेज,angreg
रतमो,ratmo
नार्गेश,nargesh
पप्पू,pappu
खुशबू,khusboo
फिरदोस,phirdos
केशव,keshav
लड्डा,laddha
तेजा,teja
जुन्ना,junna
गुलाबशा,gulabsha
नसीरा,nasira
हफ्सा,hafsa
दिलजान,diljan
निजामुद्दीन,nijamudeen
गुलशा,gulsha
भूरे,bhure
करेशन,kareshan
अर्चिता,archita
गुरुप्रीत,gurupreet
सैली,sally
अख्तर,akhtar
सुभी,subhi
मुंसी,munsi
अंतिमा,antima
बक्सि,baksi
रसाब,rasab
राय,rai
सुंदरी,sundri
खोकन,khokan
नसरुद्दीन,nasrudeen
जसलीन,jasleen
इंद्राज,indraj
लहिड़ा,lahida
राजपाल,rajpal
महेश,mahesh
सुरिंदर,surinder
आशिक,aashik
वीरू,veeru
कचरी,kachri
धर्मेंद्र,dharamender
राइश्मा,raishma
गुरुवचन,guruvachan
दाऊजी,dauji
विश्वजीत,visvajeet
वंशु,vanshu
रघुवीर,raghuveer
शोकेश,shokesh
दिति,diti
कान्हा,kanha
रामैया,ramaiya
सरबाश,sarbash
असफाक,asfaq
पुष्पक,puspak
साकल,sakal
शिशपाल,shishpal
आतिफ,atif
जसवीर,jasvir
महेंदर,mhendar
त्रेप्ति,trepti
बादल,badal
वसुकी,vasuki
पुष्पा,puspha
सुबातो,subato
सुखदेव,sukhdev
सुगंधा,sugandha
वैभव,vaibav
अजय,ajay
अदितिया,aditiya
आरजू,arzoo
निर्भय,nirbhay
राजत,rajat
मंशरम,mansharam
बरखा,barakha
सुनाली,sunali
वरुण,varun
आशी,aashi
अजनूर,ajnoor
गोल्डन,golden
उर्मिला,urmila
जीतन,jitan
तौफिक,tofik
सोयाब,soyab
जयदेव,jaidev
क़ादरी,qadri
रथन,rathan
धर्मवीर,dharamvir
चंद्राचला,chandracala
पल्विंदर,palvinder
नरसा,narsa
शुसीला,shusila
नैरित,nairit
नंदनी,nandani
याकूब,yaqoob
शमी,shami
आशारानी,asharani
निर्जा,nirja
सादरे,sadre
मेहिंदर,mehinder
मोहर,mohar
अखतारी,akhatari
आसर्फ,asrf
जयोति,jayoti
शम्सुद्दीन,shamsuddin
सनम,sanam
ऐश्वर्या,aishwarya
मुंजीरा,munjira
बिल्के,bilke
मनन,manan
रभिदा,rabhida
बच्चे,bacche
जिशान,jishan
तुन्नी,tunni
रविना,ravina
इक़रार,iqrar
रामद्याल,ramdyal
वसीम,wasim
संजीता,sanjeeta
सरजहा,sarjaha
फिलोमिना,philomina
तस्बीहा,tasbiha
अनिकेश,anikesh
मनचन,manchan
शकुंतला,shakuntala
तालीम,taleem
नंदू,nandu
बजरंगी,bajrangi
गगनदीप,gagandeep
प्रभात,prabhat
ओमेंदर,omender
मधन,madhan
शीतल,shital
मुंतजर,muntajar
शैरा,shaira
मनवीर,manvir
पल्लवी,pallavi
पवित्रा,pabitra
पुनीता,punita
पोशेट्टी,poshetty
पर्भा,parbha
साबिद,sabid
पूजा/वर्षा,pooja/varsha
बबूलाल,babulal
चोम,chom
रेखा,rekha
दानिस्ता,danista
सुमेधा,sumedha
गणतंत्र,gantantra
बृजेश,brijesh
रोहन,rohan
बुच्छी,buchhi
समाधान,samadhan
आसीष,aasish
बिराजपाल,birajpal
रुक्कमणि,ruckmani
शीनू,sheenu
रामदुलारी,ramdulari
भूलन,bhulan
तार्नुम,tarnum
शेली,shelly
पंचम,pancham
कपाड़िया,kapadia
नाशरिन,nashrin
उद्धव,uddhav
रामबाबू,rambabu
रेमा,rema
चंद्रदेव,chandradev
प्रभु,prabhu
फोल,phol
मुंतियाज,muntiyaj
विधा,vidha
उमेदी,umedi
अमीर,amir
साहिन,sahin
रोशनी,roshni
बद्रिनाथ,badrinath
इमामुद्दीन,imamuddin
शालू,shalu
राशब,rashab
माल्लो,mallo
माधवी,madhavi
काजल,kajal
आफ़्रीन,afrin
रिहान,rihaan
ज़ैदी,zaidi
क़दीम,qadeem
आचल,aachal
वारदा,varda
ईशा,iesha
ओंगिनये,onginye
जीया,jeeya
सोहनल,sohnal
कामेश,kamesh
पप्पी,pappy
पंडू,pandu
सपन,sapan
हलिया,haliya
राहत,rahat
केला,kela
हलकूजी,halkuji
इशांत,ishant
बहर्त,bahart
सलामा,salama
मारिया,mariya
समर्थ,samarth
रघुवीर,raghuvir
आइशा,aesha
राजबीर,rajbir
आनंद,aanand
नाथू,nathu
शिप्रा,shipra
प्रियका,priyaka
शेखसाई,sheikhsai
कैफिया,kaifiya
चंद्रकला,chndrakla
गुलफ़ान,gulfan
भुदेव,bhudev
उमर,umar
संजय,sanjay
यास्मिन,yasmin
ध्रीज,dhreej
जफरुद्दीन,jafruddin
कल्लो,kallo
साईदुल,saidul
सुभिया,subhiya
गली,gali
काले,kale
खालिदुर,khalidur
ओमेश,omesh
प्रागति,pragti
इक़बाल,iqbal
साक्षी,sakshi
सोनू,sonu
मशीन,masheen
आलोक,alok
गुरु,gur
रफल,rafal
नरिंदर,narinder
वेदांत,vedant
गरीब,garib
सीतल,seetal
श्नेहा,shneha
नराइन,narain
मिसबाह,misbah
हर्षद,harshad
घसीता,ghaseeta
अबिशक,abishak
तौहिर,tohir
प्रेमसिंह,premsingh
हासिबुल्लाह,hasibullah
मिहिर,mihir
करुणाकार,karunakar
बिंजा,binja
अभाकि,abhaki
सुकेंता,sukenta
धर्मपाल,dharmpal
गार्गी,gargi
वीर,veer
राधा,radha
कुलदीप,kuldeep
धरा,dhara
विजयता,vijayta
रतिकांत,ratikant
चटार,chtar
अनुदीप,anudeep
नाईमुद्दीन,naimuddin
गोपी,gopi
बाजिंदर,bajinder
बलराम,balram
उदित,udit
गिरीशचंद्र,girishchandra
बगराम,bagaram
दुखी,dukhi
श्यामलाल,shyamlal
प्रीतिका,pritika
आफ़्ताब,aftab
कन्हैया,kanhaiya
भोत्रा,bhotra
मोहरदी,mohardi
आंगन,angan
उमानाथ,umanath
आश्था,ashtha
रवीना,raveena
हबीबा,habiba
मूलीना,mulina
राध्यश्याम,radhyshyam
सोनम,soonam
शालिग,shalig
शिमा,shima
तुफैल,tufail
रबिना,rabina
रीनू,reenu
बंजू,banju
ईशनि,eeshani
भवना,bhavana
शिका,shika
अभाश,abhash
फ़िज़ा,fiza
सहरुनिसा,sehrunisa
मोहटर,mohatter
मनीष,maneesh
विरेश,viresh
केसव,kesav
मार्या,marya
लाख्मी,lakhmi
प्रीमेचर,premature
अकील,akil
सुचि,suchi
प्रीना,preena
मसूमा,masuma
हरिमोहन,harimohan
मंजीत,manjeet
धुर्वे,dhurve
उस्मान,usman
लाद,lad
रोजमें,rojmen
श्मा,shma
विजेंद्र,vijender
सतीश,sateesh
चंगो,chango
आहिल,aahil
काजमुद्दिह,kajamuddih
इरफ़ा,irfa
चिटू,chitu
पंडित,pandit
तनु,tanu
जावेद,javed
श्यामवीर,shyamveer
रत्नी,ratni
इंदा,inda
तौसिन,tausin
विरोनिका,vironika
पियुष,piyush
जैनब,jainab
बाशांती,bashanti
रेहाना,rehana
विरेन,viren
बिपिन,bipin
रशीद,rashid
बनारसी,banarsi
मोनालिसा,monalisa
श्री,shreee
विदिशा,vidisha
पुंकज,punkaj
रूबी,roobi
पुष्पा,puspa
धीरपाल,dhirpal
क्लश,klash
अनिरुद्ध,anirudh
बसंत,basanta
महराज,mahraj
साम,sam
घंटोली,ghantoli
सुंदगा,sundga
सुबिन,subin
अनुभव,anubhav
हजारी,hajari
काशीराम,kashiram
सियाराम,siyaram
वीणा,veena
ओमवीर,omveer
मैसन,maisan
शयमू,shaymu
कबीर,kabir
गुरुचरण,gurucharan
गुरुदीप,gurdeep
जानक्राज,jankraj
मृत्युंजय,mrityunjay
लखविंदर,lakhvinder
हरिदत्त,haridutt
बिमा,bima
मुस्कान,muskaan
वैभव,vaibhav
कृष्णलाल,knheyalal
तोहमीना,tohmeena
माता,mata
बीराम,beeram
वासिदा,vasida
अंकुश,ankush
मेमा,mema
सालुपा,salupa
कमना,kamana
परमो,parmo
अद्विक,advik
शयना,shayana
हरिचंद,harichand
दिवराज,divaraj
संजीव,sanjeev
कामरान,kamraan
सनोशी,sanoshi
मुस्लिम,muslim
नजारा,najara
फॉरन्टी,foranti
सत्नारायण,satnarayan
तेजेन्द्र,tejender
बेबी,baby
ज़हरा,zahra
सचिन,sachin
इलयास,ilyas
भीम,bhim
बांशी,banshi
नोर्ती,norti
अकील,akeel
रुजी,ruji
प्रहलाद,prahlad
सुनरकी,sunarki
मिनकाशी,minkashi
बिजली,bijali
गोलू,golu
हमसीरण,hamsiran
बाटू,batu
नोविशा,novisha
जयप्रकाश,jaiprakash
संतरा,santara
पुखाराम,pukharam
चेतना,chetna
प्रति,prati
गफ्फार,gaffar
जयप्रकाश,jaiparkash
रामफल,ramphal
श्रुति,shruti
मुसीबत,musibat
सबना,sabna
आसा,aasa
साना,saana
मदनलाल,madanlal
सुदा,suda
बंगाली,bangali
सतवीर,satvir
आर्थी,arthi
जोनी,jony
हैप्पी,happy
हरमीत,harmeet
जरनेल,jarnail
संतोक,santok
पिएश,piuesh
मित्ठू,mitthu
समुन्द्री,samundri
सुरती,surti
छगन,chhagan
चटारपाल,chtarpal
अंसू,ansu
अरब,arab
लक्षिता,laskshita
नशीमा,nshima
नेनी,neni
मोहड,mohad
कोशल्या,kosylaya
सुमोरंजम,sumoranjam
दुर्जन,durjan
मोनू,monu
अभयसिंह,abhaysingh
सुखसोहन,sukhsohan
चाटर,chatar
मिधना,midhana
फिरुज़,firuz
रामजनकी,ramjanki
कल्मा,kalma
नाजरे,najre
चिंकी,chinki
राजेश्वर,rajeshvr
सहजमल,sehjamal
जस्मेन,jasmen
पिंकी,pinkey
हानी,hani
सम्सुदीन,samsudin
गोकुल,gokul
मयूर,mayur
स्नेह,sneh
सादीप,sadip
भोरेलाल,bhorelal
दुर्गा,durga
गुतम,gutam
हरेंद्र,harender
शाधिक,shadhik
कुसुमाकर,kusumakar
काना,kana
अरविंद,arvind
परशोतम,parshotam
धुरेन्द्र,dhurender
कंगना,kangana
आशिया,aashiya
निसात,nisat
जुली,jully
बैता,baita
सुसीला,susila
रोमा,roma
निशु,nishu
रामकरण,ramkaran
अमुचला,amuchla
रतन,ratan
हुसनो,husno
लाखे,lakhe
रीमा,reema
गौरव,gaurav
देविद,devid
पिहु,pihu
मजीदा,majida
सूर्य,surya
प्रतुल,pratul
राहीश,raheesh
विभा,vibha
कृषमा,krishama
गोरुव,goruav
इब्राहीम,ibraheem
दक्षेश,dakshesh
रजेश,rsjesh
अमाना,amana
मेहविश,mehvish
तस्लीम,tasleem
वासिया,vasiya
नंदिता,nandita
छोटेलाल,chhotelal
रैशा,raisha
गुरमीत,gurmit
नरहासी,narhasi
अमकित,amkit
शिम्पी,shimpi
बापू,bapu
हरिएश,hariesh
बाख़्शी,bakshi
मीना,meena
सोम,som
आंचल,aanchal
दामिनी,damini
मुबाशिर,mubashir
मेनादेवी,menadevi
गोरा,gora
आदिल,adil
सुरजीत,surjit
नन्नी,nanni
रुकशाना,rukshana
जिम्मी,jimmi
कुशल,kushal
मधु,madhu
सिनिल,sinil
केशु,keshu
देवान,dewan
दींदयाल,deendyal
धर्मबीर,dhrambir
मनफूल,manphool
अफजल,afjal
पितिका,pitika
जगमोहन,jagmohan
छगना,chhagana
पवन,pavan
मल्लिक,mallik
जतिन,jatin
शाहबुद्दीन,shahbuddin
सोहेब,soheb
लक्ष्मीप्रिया,lakshmipriya
नाशीमुद्दीन,nashimuddin
शाहिद,shahid
मीनाकुमारी,minakumari
सर्वन,sarvan
रूपा,roopa
रामविलाश,ramvilash
प्रगति,pargati
गोदांबरी,godambari
ग्रेस,grace
परकेश,prkesh
जसमीत,jasmeet
दवेन्द्र,davendra
शतुरुघ्यन,shaturughyan
जगबीर,jagbir
सुतिया,sutiya
जाहूर,jahoor
जगमल,jagmal
किशोर,kishore
रविंद्र,ravindra
महादेव,mahadev
जीना,jina
सरधु,sardhu
शालिद,shalid
करीम,karim
सैफ,saif
राधिका,radikha
रंजना,ranjna
ठाकुर,thakur
खुर्शीद,khurshid
निजामुद्दीन,nijamuddin
हनुमान,hanuman
रामचंद्र,ramchander
राधेय,radhey
नंदिनी,nandini
सुधाता,sudhata
कृपाल,kripal
संतोष,santosh
विजेता,vijeta
भाभीया,bhabhiya
दीपु,deepu
जियाउल,jiyaul
राज,raj
बहनु,bahnu
बीनू,binu
सोकिन,sokin
कविता,kabita
दिलिश,dilish
सुहैल,suhail
कुमारा,kumara
रामलाल,ramlal
रहिना,rahina
नेहल,nehal
गुरु,guru
साहलेश,sahlesh
किर्शनपाल,kirshanpal
दीपेश,dipesh
सनी,sunny
नचिता,nachita
आगंद,aagand
गौरी,gouri
वाघेला,waghela
ममता,mamata
पियूस,piyus
बिटू,bitoo
ईशिका,ishika
रतनी,ratani
झूमा,jhuma
पिंट्टू,pinttu
कादिर,kadir
पृथ्वी,parathvi
नरगिस,nargis
नेमसी,nemsi
नदीम,nadim
सादिया,sadiya
मुर्शिदा,mursida
ब्रज,braj
बद्रुनिशा,badrunisha
केता,keta
शुक्रमणि,shukramani
नुमेश,numesh
बच्छू,bachu
परमदीप,paramdeep
जुल्फिकर,julficar
बृंदा,brinda
देशराज,deshraj
गिर्जेश,girjesh
लाख्या,lakhya
ओमबीर,ombir
यासिब,yasib
राखी,rakhi
तुबा,tuba
देवक्रान,devkran
घिसाराम,ghisaram
हसीम,haseem
प्रियकी,priyaki
खुशनुमा,khushnuma
सरीप,sarip
मनबाई,manbai
चंद्रकला,chanderkala
शारधा,sharadhha
वंदिता,vandita
अमरदीप,amardeep
अंसुल,ansul
सादिक,sadik
